name,longitude,latitude,altitude
WS1201,-87.85206770000079,42.88713510019785,216.5480083919614
WS1202,-87.95055829999608,43.11455749988443,198.786684611593
WS1203,-87.91363707271947,43.00243579663692,188.529351161174
WS1204,-88.01677879633208,43.02858519920608,217.2750708591511
WS1206,-87.95881646955193,43.0766849519602,211.7116263908316
WS1207,-88.01358755769259,43.12650323947467,237.3000831374774
WS1209,-88.03947935150757,43.17163268265733,242.6192313188909
WS1211,-87.89886689998033,43.02186460006411,212.3300027400228
WS1214,-87.93368629995824,43.28079719980207,209.0473349725507
WS1216,-88.03448249976996,42.97952954460428,242.0011357349674
WS1218,-88.10288040001033,43.17153580022575,246.6853893997018
WS1220,-88.06346790001757,42.9419067000935,250.22224753893
WS1221,-87.94447510001621,43.03137130009564,174.1110671261139
WS1222,-87.9288275893043,42.93459583781443,233.1412933645929
WS1224,-87.92523189999092,43.14412850019315,195.2419493380299
WS1225,-87.8922803003458,43.08611280019063,198.3400332052992
WS1226,-88.01278389675734,42.87238701933155,231.1290165181164
WS1227,-88.15191829997526,42.89467409999448,241.8801261903756
WS1228,-88.12226940002455,43.23863809974051,268.2685658876885
WS1229,-88.06458894893262,43.037715682375,235.6777075362272
