name,longitude,latitude
40869416,-87.9673,43.0971
4087070,-88.0436,43.1236
4087088,-88.0461,43.0547
4087119,-88.0051,43.0438
4087120,-87.9997,43.0456
40871488,-87.9519,42.9897
4087159,-87.9264,42.9975
4087204,-87.87,42.925
4087220,-87.9958,42.8736
